activation,Solver,Hidden layer sizes,Learning rate,Training time,Iterations,Accuracy
relu,sgd,"(20, 20)",0.001,21.187618494033813,311,0.3462749213011542
relu,sgd,"(20, 20)",0.01,2.965104103088379,37,0.2518363064008394
relu,sgd,"(20, 20)",0.1,1.1743223667144775,13,0.2130115424973767
relu,sgd,"(50, 50)",0.001,30.32545304298401,311,0.3945435466946485
relu,sgd,"(50, 50)",0.01,2.2657010555267334,24,0.20776495278069254
relu,sgd,"(50, 50)",0.1,1.2592804431915283,13,0.21091290661070305
relu,sgd,"(90, 90)",0.001,46.99870300292969,339,0.4218258132214061
relu,sgd,"(90, 90)",0.01,3.2514584064483643,23,0.19202518363064008
relu,sgd,"(90, 90)",0.1,1.9934933185577393,12,0.2130115424973767
relu,sgd,"(120, 120)",0.001,65.23597311973572,267,0.4197271773347324
relu,sgd,"(120, 120)",0.01,6.760765314102173,26,0.20671563483735572
relu,sgd,"(120, 120)",0.1,2.5976364612579346,12,0.2130115424973767
relu,adam,"(20, 20)",0.001,17.71142077445984,238,0.4386149003147954
relu,adam,"(20, 20)",0.01,2.3301808834075928,26,0.2130115424973767
relu,adam,"(20, 20)",0.1,2.417893171310425,29,0.2161594963273872
relu,adam,"(50, 50)",0.001,24.54910159111023,228,0.546694648478489
relu,adam,"(50, 50)",0.01,4.29488468170166,46,0.3179433368310598
relu,adam,"(50, 50)",0.1,2.297513484954834,22,0.2130115424973767
relu,adam,"(90, 90)",0.001,18.12545418739319,113,0.48163693599160545
relu,adam,"(90, 90)",0.01,7.986841201782227,51,0.3336831059811123
relu,adam,"(90, 90)",0.1,4.802112579345703,31,0.2130115424973767
relu,adam,"(120, 120)",0.001,46.54197287559509,143,0.5320041972717734
relu,adam,"(120, 120)",0.01,27.808034420013428,88,0.47639034627492133
relu,adam,"(120, 120)",0.1,18.773422718048096,60,0.2130115424973767
relu,lbfgs,"(20, 20)",0.001,13.851503133773804,500,0.3578174186778594
relu,lbfgs,"(20, 20)",0.01,14.490013360977173,500,0.35991605456453307
relu,lbfgs,"(20, 20)",0.1,14.178336143493652,500,0.34942287513116477
relu,lbfgs,"(50, 50)",0.001,26.93704605102539,500,0.4092339979013641
relu,lbfgs,"(50, 50)",0.01,27.62431263923645,500,0.43441762854144805
relu,lbfgs,"(50, 50)",0.1,25.64353895187378,500,0.43756558237145854
relu,lbfgs,"(90, 90)",0.001,43.414753437042236,500,0.44805876180482684
relu,lbfgs,"(90, 90)",0.01,43.846882820129395,500,0.41657922350472193
relu,lbfgs,"(90, 90)",0.1,41.77380084991455,500,0.453305351521511
relu,lbfgs,"(120, 120)",0.001,61.07481098175049,500,0.4323189926547744
relu,lbfgs,"(120, 120)",0.01,58.83174467086792,500,0.43756558237145854
relu,lbfgs,"(120, 120)",0.1,58.637261629104614,500,0.45855194123819515
logistic,sgd,"(20, 20)",0.001,34.12655758857727,500,0.25918153200419725
logistic,sgd,"(20, 20)",0.01,13.315244197845459,194,0.3273871983210913
logistic,sgd,"(20, 20)",0.1,1.9911596775054932,24,0.2130115424973767
logistic,sgd,"(50, 50)",0.001,47.716564655303955,500,0.2938090241343127
logistic,sgd,"(50, 50)",0.01,24.43654155731201,247,0.391395592864638
logistic,sgd,"(50, 50)",0.1,1.9404771327972412,20,0.24134312696747115
logistic,sgd,"(90, 90)",0.001,68.70325922966003,500,0.31584470094438616
logistic,sgd,"(90, 90)",0.01,39.93194627761841,290,0.4218258132214061
logistic,sgd,"(90, 90)",0.1,3.5256056785583496,25,0.24449108079748164
logistic,sgd,"(120, 120)",0.001,122.17074584960938,500,0.3147953830010493
logistic,sgd,"(120, 120)",0.01,69.36179184913635,282,0.4323189926547744
logistic,sgd,"(120, 120)",0.1,6.044644117355347,24,0.19622245540398742
logistic,adam,"(20, 20)",0.001,38.98936748504639,500,0.3777544596012592
logistic,adam,"(20, 20)",0.01,2.6344265937805176,24,0.2130115424973767
logistic,adam,"(20, 20)",0.1,3.1608259677886963,29,0.2130115424973767
logistic,adam,"(50, 50)",0.001,56.18486666679382,467,0.4438614900314795
logistic,adam,"(50, 50)",0.01,11.448529481887817,89,0.2497376705141658
logistic,adam,"(50, 50)",0.1,4.844234466552734,30,0.1888772298006296
logistic,adam,"(90, 90)",0.001,67.1201798915863,383,0.5047219307450157
logistic,adam,"(90, 90)",0.01,17.668787717819214,99,0.2990556138509968
