n_layers,n_neurons,transfer_func,learn_rate,algorithm,max_iter,test_accuracy
1,5,identity,0.001,adam,100,0.6250158597725517
1,5,identity,0.001,adam,200,0.7353708050138211
1,5,identity,0.001,adam,300,0.731569794516028
1,5,identity,0.001,lbfgs,100,0.6884722438130538
1,5,identity,0.001,lbfgs,200,0.728426519497801
1,5,identity,0.001,lbfgs,300,0.7271427882543315
1,5,identity,0.01,adam,100,0.7054839634756955
1,5,identity,0.01,adam,200,0.7122852660077625
1,5,identity,0.01,adam,300,0.7149736041103392
1,5,identity,0.01,lbfgs,100,0.7079694753547414
1,5,identity,0.01,lbfgs,200,0.7369927138848152
1,5,identity,0.01,lbfgs,300,0.7191176737975091
1,5,identity,0.1,adam,100,0.7358157535406564
1,5,identity,0.1,adam,200,0.7537094199278862
1,5,identity,0.1,adam,300,0.6940645053736675
1,5,identity,0.1,lbfgs,100,0.7327722052712754
1,5,identity,0.1,lbfgs,200,0.7549406164939723
1,5,identity,0.1,lbfgs,300,0.6933859606818691
1,5,logistic,0.001,adam,100,0.680878797120511
1,5,logistic,0.001,adam,200,0.6590465927715878
1,5,logistic,0.001,adam,300,0.695467566105059
1,5,logistic,0.001,lbfgs,100,0.7088696824264806
1,5,logistic,0.001,lbfgs,200,0.9315190540079371
1,5,logistic,0.001,lbfgs,300,0.9074929303238392
1,5,logistic,0.01,adam,100,0.9138458754220996
1,5,logistic,0.01,adam,200,0.9390725302084769
1,5,logistic,0.01,adam,300,0.9424277878788727
1,5,logistic,0.01,lbfgs,100,0.675362828805693
1,5,logistic,0.01,lbfgs,200,0.9003654028938153
1,5,logistic,0.01,lbfgs,300,0.9700341506636714
1,5,logistic,0.1,adam,100,0.9661756426772958
1,5,logistic,0.1,adam,200,0.9725737342887759
1,5,logistic,0.1,adam,300,0.9797744627909777
1,5,logistic,0.1,lbfgs,100,0.9056988703322919
1,5,logistic,0.1,lbfgs,200,0.9281314167702559
1,5,logistic,0.1,lbfgs,300,0.9560765827815567
1,5,tanh,0.001,adam,100,0.7555616445991746
1,5,tanh,0.001,adam,200,0.37307659433531687
