n_layers,n_neurons,transfer_func,learn_rate,algorithm,max_iter,test_accuracy
1,5,identity,0.001,adam,100,-63.849992477560946
1,5,identity,0.001,adam,200,0.2360410398960192
1,5,identity,0.001,adam,300,0.3464434737810181
1,5,identity,0.001,lbfgs,100,0.7222558360843703
1,5,identity,0.001,lbfgs,200,0.6973490770352198
1,5,identity,0.001,lbfgs,300,0.6994853352272274
1,5,identity,0.01,adam,100,0.7045467666699384
1,5,identity,0.01,adam,200,0.6364234920900628
1,5,identity,0.01,adam,300,0.7147482526745182
1,5,identity,0.01,lbfgs,100,0.7142553003542322
1,5,identity,0.01,lbfgs,200,0.6737895207704863
1,5,identity,0.01,lbfgs,300,0.6903519803709166
1,5,identity,0.1,adam,100,0.6646653704834397
1,5,identity,0.1,adam,200,0.7172960574764438
1,5,identity,0.1,adam,300,0.688751829507529
1,5,identity,0.1,lbfgs,100,0.6975567404836345
1,5,identity,0.1,lbfgs,200,0.6572003527738295
1,5,identity,0.1,lbfgs,300,0.6871064513151814
1,5,logistic,0.001,adam,100,-0.0700690670692592
1,5,logistic,0.001,adam,200,0.3779715087261075
1,5,logistic,0.001,adam,300,0.5254555692017504
1,5,logistic,0.001,lbfgs,100,0.8994420327606559
1,5,logistic,0.001,lbfgs,200,0.8860001222777207
1,5,logistic,0.001,lbfgs,300,0.9408969505241627
1,5,logistic,0.01,adam,100,0.9028713024254997
1,5,logistic,0.01,adam,200,0.9326682452071433
1,5,logistic,0.01,adam,300,0.8983116971013435
1,5,logistic,0.01,lbfgs,100,0.8892482070601553
1,5,logistic,0.01,lbfgs,200,0.9587454058573353
1,5,logistic,0.01,lbfgs,300,0.948357874801905
1,5,logistic,0.1,adam,100,0.9357940546977035
1,5,logistic,0.1,adam,200,0.9368812414030092
1,5,logistic,0.1,adam,300,0.9154795480312656
1,5,logistic,0.1,lbfgs,100,0.9389775170027581
1,5,logistic,0.1,lbfgs,200,0.8873008951291835
1,5,logistic,0.1,lbfgs,300,0.9661388786794998
1,5,tanh,0.001,adam,100,0.07840481712940334
1,5,tanh,0.001,adam,200,0.3597513716837727
1,5,tanh,0.001,adam,300,0.7319371319542328
1,5,tanh,0.001,lbfgs,100,0.7446101597142505
1,5,tanh,0.001,lbfgs,200,0.9226210299062574
1,5,tanh,0.001,lbfgs,300,0.9532801138002943
1,5,tanh,0.01,adam,100,0.8449857995541331
1,5,tanh,0.01,adam,200,0.9284594951888825
1,5,tanh,0.01,adam,300,0.9359861558832765
1,5,tanh,0.01,lbfgs,100,0.9229289258860706
1,5,tanh,0.01,lbfgs,200,0.9287294015735903
1,5,tanh,0.01,lbfgs,300,0.9228661848072994
1,5,tanh,0.1,adam,100,0.9231067293172066
1,5,tanh,0.1,adam,200,0.7603238721105976
1,5,tanh,0.1,adam,300,0.7909481278071977
1,5,tanh,0.1,lbfgs,100,0.8568582716674868
1,5,tanh,0.1,lbfgs,200,0.8655797595673536
