n_layers,n_neurons,transfer_func,learn_rate,algorithm,max_iter,test_accuracy
1,5,identity,0.001,adam,100,-11.61625548677956
1,5,identity,0.001,adam,200,0.16714931752381224
1,5,identity,0.001,adam,300,0.6863502714583519
1,5,identity,0.001,lbfgs,100,0.6514193176453396
1,5,identity,0.001,lbfgs,200,0.7206082539940442
1,5,identity,0.001,lbfgs,300,0.7052381051989413
1,5,identity,0.01,adam,100,0.7020263678502547
1,5,identity,0.01,adam,200,0.6614589998209134
1,5,identity,0.01,adam,300,0.675313274807569
1,5,identity,0.01,lbfgs,100,0.6797923582941069
1,5,identity,0.01,lbfgs,200,0.6707162584525261
1,5,identity,0.01,lbfgs,300,0.6622195213709653
1,5,identity,0.1,adam,100,0.649713902493623
1,5,identity,0.1,adam,200,0.6875765209313582
1,5,identity,0.1,adam,300,0.7200947848365777
1,5,identity,0.1,lbfgs,100,0.688434054903812
1,5,identity,0.1,lbfgs,200,0.698599644746001
1,5,identity,0.1,lbfgs,300,0.7065751575106136
1,5,logistic,0.001,adam,100,0.36278570457461434
1,5,logistic,0.001,adam,200,0.4285396872063761
1,5,logistic,0.001,adam,300,0.5898378638106204
1,5,logistic,0.001,lbfgs,100,0.9360184613025875
1,5,logistic,0.001,lbfgs,200,0.9531498025213778
1,5,logistic,0.001,lbfgs,300,0.9608041109468778
1,5,logistic,0.01,adam,100,0.8550040781829628
1,5,logistic,0.01,adam,200,0.9103337219608911
1,5,logistic,0.01,adam,300,0.9363086257051589
1,5,logistic,0.01,lbfgs,100,0.9133307283542337
1,5,logistic,0.01,lbfgs,200,0.9558093964179971
1,5,logistic,0.01,lbfgs,300,0.9533057738785032
1,5,logistic,0.1,adam,100,0.926993095528464
1,5,logistic,0.1,adam,200,0.9341924569973118
1,5,logistic,0.1,adam,300,0.9431248212665144
1,5,logistic,0.1,lbfgs,100,0.9277643246083311
1,5,logistic,0.1,lbfgs,200,0.9435697678362368
1,5,logistic,0.1,lbfgs,300,0.9562626849640745
1,5,tanh,0.001,adam,100,0.10625600201855029
1,5,tanh,0.001,adam,200,0.4645818025222936
1,5,tanh,0.001,adam,300,0.6472109393435417
1,5,tanh,0.001,lbfgs,100,0.7746606221121679
1,5,tanh,0.001,lbfgs,200,0.9537736802487283
1,5,tanh,0.001,lbfgs,300,0.9474460641842061
1,5,tanh,0.01,adam,100,0.8436881508679285
1,5,tanh,0.01,adam,200,0.9170863878377093
1,5,tanh,0.01,adam,300,0.9345056668573718
1,5,tanh,0.01,lbfgs,100,0.9103742481526697
1,5,tanh,0.01,lbfgs,200,0.9194294225679822
1,5,tanh,0.01,lbfgs,300,0.9371786576256996
1,5,tanh,0.1,adam,100,0.8733310991142706
1,5,tanh,0.1,adam,200,0.8977683298668833
1,5,tanh,0.1,adam,300,0.7722793499355142
1,5,tanh,0.1,lbfgs,100,0.8523726882212903
1,5,tanh,0.1,lbfgs,200,0.9449554693440932
1,5,tanh,0.1,lbfgs,300,0.9537939091338731
1,5,relu,0.001,adam,100,-0.19573583722851984
1,5,relu,0.001,adam,200,0.8456624312718355
1,5,relu,0.001,adam,300,0.4296378881238001
1,5,relu,0.001,lbfgs,100,0.9463519055013401
1,5,relu,0.001,lbfgs,200,0.7802371208118943
1,5,relu,0.001,lbfgs,300,0.8747525117325734
1,5,relu,0.01,adam,100,0.7553434506662837
1,5,relu,0.01,adam,200,0.8755159715289931
1,5,relu,0.01,adam,300,0.712763446881605
1,5,relu,0.01,lbfgs,100,0.4278329756428121
1,5,relu,0.01,lbfgs,200,0.9518423432803851
1,5,relu,0.01,lbfgs,300,0.8953868963189691
1,5,relu,0.1,adam,100,0.8921483605813513
1,5,relu,0.1,adam,200,0.7320263635656792
1,5,relu,0.1,adam,300,0.7256416024028831
1,5,relu,0.1,lbfgs,100,0.862182806275306
1,5,relu,0.1,lbfgs,200,0.9096516053528851
1,5,relu,0.1,lbfgs,300,0.9191925258349654
1,10,identity,0.001,adam,100,0.3531669914963798
1,10,identity,0.001,adam,200,0.5114331804324774
1,10,identity,0.001,adam,300,0.68094464650201
1,10,identity,0.001,lbfgs,100,0.7066513481161022
1,10,identity,0.001,lbfgs,200,0.6750218679517614
1,10,identity,0.001,lbfgs,300,0.6940898318241097
1,10,identity,0.01,adam,100,0.7280204308322167
1,10,identity,0.01,adam,200,0.7109603175820414
1,10,identity,0.01,adam,300,0.7243705059186463
1,10,identity,0.01,lbfgs,100,0.6943167695691359
1,10,identity,0.01,lbfgs,200,0.6846562233928505
1,10,identity,0.01,lbfgs,300,0.7148710414711793
1,10,identity,0.1,adam,100,0.7264377306750928
1,10,identity,0.1,adam,200,0.7114267910593516
1,10,identity,0.1,adam,300,0.7058930584154264
1,10,identity,0.1,lbfgs,100,0.6874266312863074
1,10,identity,0.1,lbfgs,200,0.669819183035718
1,10,identity,0.1,lbfgs,300,0.6961361994330464
1,10,logistic,0.001,adam,100,0.37721436371105616
1,10,logistic,0.001,adam,200,0.6532692500579431
1,10,logistic,0.001,adam,300,0.5313117447134417
1,10,logistic,0.001,lbfgs,100,0.9587043850318167
1,10,logistic,0.001,lbfgs,200,0.9557277801691757
1,10,logistic,0.001,lbfgs,300,0.9732641446296324
1,10,logistic,0.01,adam,100,0.8291290897183468
1,10,logistic,0.01,adam,200,0.9386280399448022
1,10,logistic,0.01,adam,300,0.9605138312553254
1,10,logistic,0.01,lbfgs,100,0.9469264354823801
1,10,logistic,0.01,lbfgs,200,0.9584326737449743
1,10,logistic,0.01,lbfgs,300,0.9661310547786202
1,10,logistic,0.1,adam,100,0.9465800156567981
1,10,logistic,0.1,adam,200,0.9677369451762761
1,10,logistic,0.1,adam,300,0.9334578131480656
1,10,logistic,0.1,lbfgs,100,0.9572618713246657
1,10,logistic,0.1,lbfgs,200,0.9611595013562461
1,10,logistic,0.1,lbfgs,300,0.9757040017963802
1,10,tanh,0.001,adam,100,0.29237662057575686
1,10,tanh,0.001,adam,200,0.8439111035855246
1,10,tanh,0.001,adam,300,0.8243040030751119
1,10,tanh,0.001,lbfgs,100,0.9299369499693699
1,10,tanh,0.001,lbfgs,200,0.9496913596623604
1,10,tanh,0.001,lbfgs,300,0.9788917166985694
1,10,tanh,0.01,adam,100,0.9219992250243063
1,10,tanh,0.01,adam,200,0.9332740420310547
1,10,tanh,0.01,adam,300,0.9503104658603977
1,10,tanh,0.01,lbfgs,100,0.9323693312828337
1,10,tanh,0.01,lbfgs,200,0.9687462043073196
1,10,tanh,0.01,lbfgs,300,0.9625658359995084
1,10,tanh,0.1,adam,100,0.9437339260610569
1,10,tanh,0.1,adam,200,0.9136415049684846
1,10,tanh,0.1,adam,300,0.9345380957710325
1,10,tanh,0.1,lbfgs,100,0.9275696081356717
1,10,tanh,0.1,lbfgs,200,0.9568814362231661
1,10,tanh,0.1,lbfgs,300,0.9684271057279599
1,10,relu,0.001,adam,100,-0.263973309085453
1,10,relu,0.001,adam,200,0.5416937390223837
1,10,relu,0.001,adam,300,0.5815174806242149
1,10,relu,0.001,lbfgs,100,0.8284853673222383
1,10,relu,0.001,lbfgs,200,0.9573120980112773
1,10,relu,0.001,lbfgs,300,0.9641940017276744
1,10,relu,0.01,adam,100,0.9459601493104639
1,10,relu,0.01,adam,200,0.9248413338811197
1,10,relu,0.01,adam,300,0.9308922965838565
1,10,relu,0.01,lbfgs,100,0.8653922985647965
1,10,relu,0.01,lbfgs,200,0.9287681316784054
1,10,relu,0.01,lbfgs,300,0.9524199209379758
1,10,relu,0.1,adam,100,0.92090496616283
1,10,relu,0.1,adam,200,0.8536585139337296
1,10,relu,0.1,adam,300,0.8644040583900017
